time,open,high,low,close,Volume
1699475400,4379.82,4387.89,4377.54,4384.35,360083910
1699477200,4383.09,4383.09,4382.78,4382.79,343899830
1699540200,4391.41,4393.4,4380.17,4388.16,239092238
1699542000,4388.33,4391.07,4373.47,4374.2,159079882
1699543800,4374.34,4379.56,4370.56,4379.56,139134330
1699545600,4379.38,4388.25,4379.33,4383.86,115364260
1699547400,4383.92,4390.26,4383.09,4387.26,114653110
1699549200,4387.33,4388.16,4380.99,4381.48,101138210
1699551000,4381.44,4386.51,4380.38,4385.6,93302030
1699552800,4385.59,4386.05,4361.43,4373.69,139204540
1699554600,4373.7,4375.18,4361.44,4363.81,108616350
1699556400,4363.88,4363.88,4349.23,4357.29,131542480
1699558200,4357.34,4359.52,4346.15,4347.69,116392310
1699560000,4347.92,4352.31,4344.35,4347.09,144266060
1699561800,4347.08,4349.52,4343.94,4346.58,336555960
1699563600,4347.43,4347.43,4347.31,4347.36,362851250
1699626600,4366.12,4370.16,4356.93,4367.12,246215055
1699628400,4363.54,4366.18,4355.26,4357.04,154226575
1699630200,4356.92,4362.84,4353.34,4362.84,125634930
1699632000,4362.82,4377.49,4362.74,4374.98,126757870
1699633800,4375.09,4376.69,4370.73,4376.62,101414360
1699635600,4376.63,4383.85,4376.08,4382.53,98636030
1699637400,4382.61,4398.94,4382.61,4396.47,112580020
1699639200,4396.51,4400.76,4391,4398.69,98651880
1699641000,4398.72,4406.21,4398.72,4404.02,97238510
1699642800,4404,4407.83,4403.27,4407,96824370
1699644600,4407.04,4408.11,4404.4,4405.3,97276100
1699646400,4405.36,4412.91,4405.07,4412.64,124200940
1699648200,4412.71,4418.03,4411.35,4415.88,348135330
1699650000,4415.29,4415.3,4415.23,4415.23,345242200
1699885800,4406.66,4406.66,4393.82,4397.93,228451616
1699887600,4397.98,4401.33,4395.15,4400.96,151643794
1699889400,4401.06,4408.34,4399.61,4406.1,128712620
1699891200,4406.09,4413.83,4404.96,4413.83,118415440
1699893000,4413.75,4421.76,4412.49,4418.71,114968160
1699894800,4418.65,4419.99,4412.92,4416.6,95208140
1699896600,4416.63,4416.88,4411.27,4414.27,80852720
1699898400,4414.25,4415.84,4410.25,4410.87,79028260
1699900200,4410.63,4418.96,4408.49,4414.11,85886890
1699902000,4414.15,4418.13,4413.07,4418.05,81702950
1699903800,4418.04,4419.69,4413.95,4415.03,84456510
1699905600,4415.07,4418.02,4411.94,4416.37,104613640
1699907400,4416.42,4416.5,4410.08,4411.62,295687940
1699909200,4411.22,4411.6,4411.22,4411.54,279587490
1699972200,4467.83,4488.63,4467.83,4488,366412630
1699974000,4488.08,4496.7,4485.34,4496.37,208881750
1699975800,4496.86,4502.14,4495.81,4497.85,168606300
1699977600,4497.89,4505.51,4497.85,4502.82,150624090
1699979400,4502.87,4503.73,4492.23,4492.4,137837020
1699981200,4492.51,4495.19,4487.55,4489.37,119265020
1699983000,4489.45,4495.99,4489.29,4495.6,95120490
1699984800,4495.64,4497.26,4492.94,4496.57,100892560
1699986600,4496.58,4499.16,4491.05,4491.05,107891170
1699988400,4490.98,4493.74,4485.55,4493.66,113587840
1699990200,4493.63,4502.97,4493.63,4502.57,117152360
1699992000,4502.58,4508.67,4501.5,4506.77,156816840
1699993800,4506.76,4507.51,4491.47,4495.82,398483950
1699995600,4496.04,4496.04,4495.52,4495.71,362798520
1700058600,4508.45,4514.19,4501.61,4506.26,302161380
1700060400,4506.23,4519.56,4505.45,4514.65,197366650
1700062200,4514.66,4521.17,4512.51,4518.54,174121010
1700064000,4518.74,4520.88,4513.79,4515.6,150933870
1700065800,4515.64,4515.76,4504.15,4505.55,136876250
1700067600,4505.56,4508.92,4502.93,4508.92,112556970
1700069400,4508.96,4510.7,4504.33,4504.93,101670070
1700071200,4504.71,4505.49,4495.31,4504.62,121147760
1700073000,4504.69,4510.2,4503.45,4509.42,101283740
1700074800,4509.65,4511.95,4503.73,4511.49,109142820
1700076600,4511.52,4513.87,4506.75,4509.95,103911070
1700078400,4509.92,4511.01,4505,4508.12,130738790
1700080200,4508.32,4510.83,4499.66,4503.54,376716220
1700082000,4503.54,4503.54,4502.88,4502.89,367853020
1700145000,4497.08,4511.41,4495.7,4510.52,300780850
1700146800,4510.56,4511.99,4499.44,4505.74,195376630
1700148600,4505.78,4508.89,4493.91,4496.45,171296450
1700150400,4496.43,4498.66,4489.32,4489.58,144527710
1700152200,4489.54,4495.12,4487.83,4493.45,129181310
1700154000,4493.59,4500.01,4493.12,4499.2,109809870
1700155800,4499.15,4504.94,4497.68,4501.01,105467580
1700157600,4501.07,4502.32,4495.35,4500.53,110623180
1700159400,4500.56,4501.26,4492.44,4495.47,104156180
1700161200,4495.41,4498.95,4494.39,4495.71,110785680
1700163000,4495.72,4504.39,4495.44,4501.92,117587220
1700164800,4501.98,4503.23,4499.9,4502.26,133043960
1700166600,4502.24,4509.11,4501.09,4508.45,382776610
1700168400,4508.53,4508.53,4508.23,4508.23,325793210
1700231400,4509.55,4513.26,4501.42,4508.13,301912890
1700233200,4508.22,4509.8,4501.26,4508.93,152614910
1700235000,4509.1,4509.22,4503.58,4507.01,127685530
1700236800,4507.12,4507.8,4499.66,4504.23,116621380
1700238600,4504.31,4508.55,4502.02,4508.5,97689110
1700240400,4508.51,4512.89,4506.74,4507.55,94740860
1700242200,4507.65,4511.07,4507.54,4511.03,82337180
1700244000,4511.08,4514.91,4509.19,4513.45,86837770
1700245800,4513.48,4517.04,4513.48,4516.51,91864330
1700247600,4516.54,4520.12,4514.96,4515.58,100103970
1700249400,4515.57,4517.29,4512.62,4515.9,96023110
1700251200,4515.95,4519.76,4513.51,4517.29,123469270
1700253000,4517.09,4517.57,4508.23,4513.71,357523810
1700254800,4514.07,4514.18,4514.01,4514.03,382930580
1700490600,4510.37,4527.92,4510.37,4527.92,202683487
1700492400,4528.41,4529.15,4520.44,4525.57,155617536
1700494200,4525.58,4532.13,4523.7,4532.13,132918180
1700496000,4532.32,4534.2,4531.26,4532.16,118960200
1700497800,4532.35,4535.03,4532.01,4533.88,104161320
1700499600,4533.82,4536.63,4532.2,4534.69,88818930
1700501400,4534.74,4535.08,4531.19,4532.74,83762640
1700503200,4532.73,4543.97,4532.45,4543.16,102638380
1700505000,4543.2,4546.82,4543.18,4545.83,86581220
1700506800,4545.94,4546.99,4544.15,4545.98,95057400
1700508600,4545.92,4552.73,4545.92,4551.7,96082620
1700510400,4551.68,4557.11,4551.07,4556.27,123555980
1700512200,4556.3,4556.34,4545.24,4548.46,308438830
1700514000,4548.06,4548.06,4547.38,4547.39,356136470
1700577000,4538.77,4538.77,4532.84,4534.02,214709036
1700578800,4533.86,4537.05,4526.35,4526.95,172324637
1700580600,4527.02,4533.34,4525.51,4533.02,141962360
1700582400,4533,4533.52,4529.03,4531.02,115425020
1700584200,4531.11,4535.06,4528.63,4534.74,104581560
1700586000,4534.77,4537.87,4533.69,4537.66,87792660
1700587800,4537.67,4541.9,4537.17,4541.35,79194520
1700589600,4541.43,4541.56,4532.89,4534.59,83704490
1700591400,4534.59,4541.76,4534.21,4538.92,83297390
1700593200,4538.92,4541.13,4535.76,4538.59,91625860
1700595000,4538.62,4539.15,4534.63,4539.04,92107640
1700596800,4539.08,4542.14,4537.12,4539.11,109109780
1700598600,4539.01,4540.53,4535.24,4538.69,318140400
1700600400,4538.54,4538.54,4538.18,4538.18,244985720
1700663400,4553.04,4568.43,4549.75,4555.33,232035710
1700665200,4554.84,4555.49,4545.05,4555.25,157294010
1700667000,4555.28,4561.04,4549.05,4551.08,130432510
1700668800,4551.02,4557.65,4550.73,4555.52,103611590
1700670600,4555.66,4561.14,4554.98,4560.98,87482670
1700672400,4560.91,4564.47,4558.11,4560.11,90778550
1700674200,4560,4560.23,4552.51,4556.98,78710790
1700676000,4556.99,4561.43,4556.1,4561.32,76553750
1700677800,4561.35,4561.97,4558.24,4558.49,75457960
1700679600,4558.88,4561.98,4558.52,4560.83,80512350
1700681400,4560.74,4560.76,4545.78,4554.45,99221400
1700683200,4554.43,4558.51,4553.33,4558.51,95958350
1700685000,4558.5,4559.53,4556.13,4556.59,264449820
1700686800,4556.43,4556.63,4556.43,4556.63,253281110
1700836200,4556.12,4559.77,4552.8,4558.6,158389943
1700838000,4558.68,4560.31,4553.85,4555.73,107207570
1700839800,4555.76,4558.25,4553.6,4557.39,103046267
1700841600,4557.37,4558.5,4555.24,4556.53,83803370
1700843400,4556.64,4557.21,4554.91,4555.52,76612020
1700845200,4555.53,4557.37,4554.7,4554.7,77522370
1700847000,4554.73,4558.96,4554.52,4558.89,157114820
1700848800,4559,4559.37,4559,4559.33,109280570
1701095400,4553.59,4558.49,4546.32,4550.99,228029464
1701097200,4551.05,4557.38,4548.52,4551.97,126811206
1701099000,4552.03,4556.24,4552.03,4553.77,114757020
1701100800,4553.86,4554.04,4548.07,4554.04,97657680
1701102600,4554.07,4559.15,4551.62,4556.42,96937840
1701104400,4556.42,4557.78,4553.71,4555.33,89140140
1701106200,4555.37,4558.31,4554.78,4557.68,82103690
1701108000,4557.72,4560.52,4555.92,4557.93,82428600
1701109800,4557.89,4559.33,4555.19,4556.75,79661850
1701111600,4556.83,4558.25,4554.51,4555.31,84702060
1701113400,4555.34,4555.67,4547.31,4552.12,94845190
1701115200,4552.15,4555.22,4550.38,4554.9,105247120
1701117000,4555,4558.46,4549.24,4550.85,314887270
1701118800,4550.76,4550.76,4550.37,4550.44,354801660
1701181800,4545.5,4547.3,4540.51,4541.45,221442440
1701183600,4541.49,4548.11,4541.35,4546.07,139577730
1701185400,4546.02,4559.04,4544.87,4557.24,138315470
1701187200,4557.25,4561.91,4554.95,4561.04,118359650
1701189000,4561.37,4568.14,4561.37,4565.48,109330630
1701190800,4565.53,4566.07,4559.44,4559.69,96080610
1701192600,4559.69,4559.69,4552.04,4554.42,83294970
1701194400,4554.45,4554.45,4543.91,4551.27,97896850
1701196200,4551.3,4553.18,4549.04,4549.22,84227200
1701198000,4549.25,4550.96,4547.29,4547.93,93731400
1701199800,4547.98,4554.81,4545.42,4553.04,94427280
1701201600,4553,4553.38,4546.03,4549.67,117743530
1701203400,4549.68,4556.43,4548.17,4554.83,321819500
1701205200,4554.84,4554.91,4554.79,4554.9,338648120
1701268200,4574.53,4587.64,4574.08,4585.22,265602289
1701270000,4585.98,4587.1,4566.02,4569.35,191190050
1701271800,4569.34,4573.75,4566.16,4571.23,152716670
1701273600,4571.31,4572.18,4556.05,4556.33,143919870
1701275400,4556.32,4562.62,4554.5,4562.3,124787360
1701277200,4562.36,4566.81,4560.62,4566.75,106283720
1701279000,4566.81,4568.68,4565.96,4567.84,97755500
1701280800,4567.87,4569.06,4563.44,4567.75,94630990
