time,open,high,low,close,Volume
1709569800,66344.95,66569.39,66039.31,66539.82,1455.07823
1709571600,66539.82,67380.11,66160.23,67314.43,2954.47563
1709573400,67314.43,67524.99,66781.1,66858.74,3304.4069
1709575200,66858.74,67080,66111.1,66137.65,2422.21078
1709577000,66137.66,66629.15,66100,66617.57,1652.47632
1709578800,66617.57,67100,66320.6,67056,1560.39893
1709580600,67056,67450,66966.83,67405.26,1418.22128
1709582400,67405.25,67420.35,67062.5,67287.59,1384.01905
1709584200,67287.59,67770,67100,67427.16,2735.31376
1709586000,67427.17,67644.59,66755.79,66966.68,1887.04451
1709587800,66966.67,67412.66,66901.11,67404.86,1260.99186
1709589600,67404.85,67800,67255.09,67369,1670.49214
1709591400,67369.01,67929.12,67245.28,67929.11,1199.64358
1709593200,67929.12,68499,67751.91,67921.96,3217.50151
1709595000,67921.95,68329.79,67448.92,68245.71,2256.08905
1709596800,68245.71,68443.72,67930,67997.19,1458.36234
1709598600,67997.19,68171.61,67767.76,68034.01,1190.85957
1709600400,68034,68500,67981.1,68415.79,1835.34753
1709602200,68415.79,68686.8,68055.88,68506.04,1554.96418
1709604000,68506.05,68543.08,67741.55,68237,1820.90054
1709605800,68237.01,68289.39,67866,68137.81,1246.78328
1709607600,68137.81,68137.82,67535.31,67987.81,1457.96749
1709609400,67987.81,68223.3,67981.1,68113.94,883.07825
1709611200,68113.95,68384.54,67660.01,67987.86,1880.07824
1709613000,67987.87,67997.48,66785.31,67326.17,2291.75807
1709614800,67326.18,67326.18,65089,66861,4708.68203
1709616600,66861,67000,66380.13,66961.09,2204.6952
1709618400,66961.1,67333.32,66624.36,67310.36,1490.82118
1709620200,67310.35,67465.2,67191.77,67286.8,1240.49785
1709622000,67286.8,67344.89,66846,66861.19,1112.31694
1709623800,66861.2,66913.36,66100,66129.64,2851.44107
1709625600,66129.64,66734.71,65515.15,66544.21,3237.7155
1709627400,66544.22,66884.72,66360.56,66866.75,1313.38004
1709629200,66866.75,66880.65,66600,66718.63,977.88728
1709631000,66718.63,66718.64,66052,66407.89,1482.62564
1709632800,66407.88,66929.89,66407.88,66911.8,1257.73009
1709634600,66911.81,67150,66804.97,66810.18,1326.52105
1709636400,66810.18,66895.61,66603.16,66821.1,949.1213
1709638200,66821.1,66833.25,66490,66656.31,1393.92773
1709640000,66656.32,67100,66581.81,66928.23,1178.19054
1709641800,66928.23,67326.52,66850.72,67325.03,1295.31803
1709643600,67325.03,68025.94,67312.38,67649.82,2267.51137
1709645400,67649.82,67880.15,67504.19,67770.01,1286.53443
1709647200,67770.02,67796.25,67244,67576.02,1587.12193
1709649000,67576.02,68789,67274.77,68710.41,4070.54196
1709650800,68710.41,69000,67080.45,67170.01,6416.30113
1709652600,67170.02,67389.13,66370,66773.05,4406.71147
1709654400,66773.05,66996.36,64539.21,65842.43,8359.24278
1709656200,65842.43,66015.32,64889.06,65495.98,3727.7425
