time,open,high,low,close,Volume
1685640600,4218.14,4225.16,4216.56,4223.72,213934700
1685644200,4223.76,4232.43,4221.52,4222.19,286229210
1685647800,4222.23,4222.91,4212.04,4221.01,751221920
1685712600,4241.01,4267.09,4241.01,4258.27,545675099
1685716200,4258.02,4279.95,4254.62,4279.1,359690880
1685719800,4278.89,4280.08,4270.94,4277.57,279627060
1685723400,4277.54,4286.68,4276.51,4286.04,229006050
1685727000,4285.95,4286.46,4278.25,4282.6,232805460
1685730600,4282.65,4290.67,4282.12,4284.42,258295850
1685734200,4284.47,4287.19,4281.36,4282.38,725800900
1685971800,4283.57,4296.58,4279.56,4282.39,403323187
1685975400,4282.3,4292.6,4281.33,4292.2,279622860
1685979000,4292.03,4297.7,4288.51,4295.8,187149390
1685982600,4295.8,4299.28,4286.32,4288.14,190332090
1685986200,4288.17,4288.58,4280.3,4282.82,203823400
1685989800,4282.82,4283.31,4266.82,4274.83,297446070
1685993400,4274.86,4279.47,4272.94,4273.78,622317440
1686058200,4271.34,4278.82,4263.09,4277.02,415558380
1686061800,4276.98,4286.88,4272.1,4277.34,313708890
1686065400,4277.39,4287.01,4277.39,4279.47,237007400
1686069000,4279.52,4281.03,4270.56,4275.21,207340020
1686072600,4275.24,4277.18,4268.5,4277.18,195103090
1686076200,4277.01,4284.56,4275.65,4283.65,213326100
1686079800,4283.69,4288.33,4278.27,4283.86,617092510
1686144600,4285.59,4299.19,4282.55,4286.47,499882550
1686148200,4286.51,4288.97,4273.22,4280.32,338330200
1686151800,4280.32,4284.59,4269.17,4271.27,278036650
1686155400,4271.33,4277.99,4264.33,4270.17,262502250
1686159000,4268.53,4276.29,4263.96,4272.43,230145050
1686162600,4272.44,4274.86,4265.91,4271.48,268814730
1686166200,4271.25,4273.94,4264,4267.51,795132160
1686231000,4267.89,4276.68,4261.07,4276.15,442357610
1686234600,4276.21,4284.9,4272.19,4284.9,284601140
1686238200,4284.99,4293.73,4279.69,4293.22,234172660
1686241800,4293.21,4293.39,4285.78,4286.25,187245940
1686245400,4286.24,4289.14,4279.61,4288.94,188767760
1686249000,4288.95,4294.48,4288.95,4292.19,220848790
1686252600,4292.24,4298.01,4290.72,4293.92,621954060
1686317400,4306.8,4321.99,4302.23,4320.62,473517050
1686321000,4320.75,4322.62,4300.31,4301.19,302192260
1686324600,4301.2,4304.66,4292.05,4295.21,230000680
1686328200,4295.17,4303.98,4291.7,4303.95,178991000
1686331800,4304.02,4309.93,4303.84,4306.41,174026290
1686335400,4306.42,4307.11,4300.11,4303.5,199408660
1686339000,4303.51,4304.73,4297.55,4298.87,551106650
1686576600,4311.92,4312.65,4305.1,4309.45,501352060
1686580200,4309.57,4310.26,4304.37,4308.99,309938790
1686583800,4308.97,4315.01,4308.97,4314.24,244462920
1686587400,4314.26,4318.3,4314.21,4315.72,196505540
1686591000,4315.77,4321.05,4314.4,4319.22,193707990
1686594600,4319.25,4338.86,4319.14,4335.02,260323010
1686598200,4335,4340.13,4333.01,4338.92,724110210
1686663000,4354.25,4373.41,4349.31,4359.01,534590460
1686666600,4358.81,4374.66,4354.39,4369.35,303083580
1686670200,4369.39,4370.44,4360.04,4368.59,244844760
1686673800,4368.59,4375.37,4366.82,4372.49,207248550
1686677400,4372.57,4374.35,4358.88,4361.06,226190920
1686681000,4361.01,4369.56,4356.13,4365.75,256563640
1686684600,4365.71,4369.8,4363.57,4369.02,722492650
1686749400,4366.29,4383.28,4366.29,4378.24,475616410
1686753000,4378.28,4391.82,4378.04,4387.95,288220030
1686756600,4387.82,4388.55,4377.69,4383.24,213827270
