,0,1,2
0,0,,"[17, 67, 23, 1, 10.0, -29, -83, 0.6513095061421811, 0.8147322497595655, 0.7606760524871832, 1, 0.15655177129535858, 1, 0.22492352925961945, 0]"
1,1,,"[ 16.          72.          23.           0.47369205  19.
 -11.         -85.           0.60689835   0.69863514   0.53376091
   0.91030776   0.93731021   0.79732787   0.38644386   0.12555676]"
2,2,,"[ 1.20000000e+01  7.10000000e+01  2.30000000e+01  7.24106372e-01
  1.90000000e+01 -1.10000000e+01 -8.40000000e+01  6.06898353e-01
  6.98635141e-01  4.33543890e-01  4.96618331e-03  9.55869878e-01
  9.37951783e-01  3.86443861e-01  9.61692340e-01]"
3,3,,"[ 1.00000000e+01  6.90000000e+01  2.90000000e+01  1.66011698e-01
  1.10000000e+01 -1.70000000e+01 -7.30000000e+01  6.64294352e-01
  7.59803713e-01  7.78808163e-01  5.42057974e-02  5.28041585e-01
  7.20379226e-01  4.46964102e-02  4.73948089e-02]"
4,4,,"[16, 72, 38.0, 0.5291903659525702, 15.0, -24.0, -71, 1, 0.8147322497595655, 0.778808163092075, 1, 1, 1, 0, 0.6902554348142309]"
5,5,,"[12.0, 64.0, 37, 0, 15.0, -27, -88.0, 0.6513095061421811, 1, 0.896920478604023, 0, 1, 0, 1, 0.4272113531788725]"
6,6,,"[ 1.20000000e+01  7.60000000e+01  3.40000000e+01  1.89779743e-01
  1.00000000e+01 -1.00000000e+01 -7.30000000e+01  3.82878528e-02
  3.51104383e-01  7.78808163e-01  5.42057974e-02  3.36541661e-01
  7.20379226e-01  2.58000640e-02  4.73948089e-02]"
7,7,,"[ 1.20000000e+01  7.20000000e+01  3.20000000e+01  2.77829164e-01
  1.10000000e+01 -1.10000000e+01 -8.40000000e+01  5.98481054e-01
  8.48481624e-01  4.33543890e-01  4.96618331e-03  9.37310210e-01
  7.90341765e-02  5.62637363e-01  1.63546507e-02]"
8,8,,"[ 1.00000000e+01  7.60000000e+01  3.40000000e+01  1.89779743e-01
  1.00000000e+01 -2.30000000e+01 -8.40000000e+01  5.98481054e-01
  3.51104383e-01  3.58975637e-01  2.58028825e-01  5.89458028e-01
  7.20379226e-01  2.58000640e-02  1.63546507e-02]"
9,9,,"[ 16.          71.          29.           0.1660117   19.
 -28.         -84.           0.66429435   0.75980371   0.89177368
   0.49988184   0.95586988   0.93538444   0.38644386   0.79311132]"
